"StudentNumber","Practical1"
"10178968","100"
"10404354","95"
"10510786","100"
"10564021","100"
"10596546","95"
"10764201","100"
"10843911","80"
"11389401","95"
"11392372","100"
"11673891","100"
"11951617","100"
"12009405","90"
"12054790","85"
"12248737","80"
"12424318","100"
"12824445","60"
"13307706","95"
"13890687","85"
"13899884","100"
"13994420","100"
"13999844","100"
"14388750","80"
"14698053","70"
"14835475","95"
"15025227","100"
"15138599","80"
"15221466","100"
"15894259","80"
"16344699","75"
"16355565","95"
"16426178","100"
"16701580","90"
"16830633","90"
"16867408","85"
"17565059","85"
"17617371","85"
"17899150","100"
"17991569","90"
"18086203","85"
"18565081","80"
"18696816","45"
"18951663","100"
"19312374","85"
"19540193","100"
"19726156","80"
"19852046","100"
"19990795","85"
"20065713","100"
"20863512","80"
"21088459","90"
"21176483","95"
"21290640","100"
"21328145","100"
"21400518","90"
"21507858","80"
"21547152","100"
"21742487","90"
"22123740","100"
"22356863","40"
"22418933","80"
"22420142","100"
"22492651","100"
"22599569","100"
"22803735","85"
"22805605","70"
"23000344","75"
"23015418","95"
"23108186","80"
"23276962","85"
"23573413","85"
"23599160","100"
"23764014","90"
"23872060","100"
"23941170","30"
"23967059","100"
"24168928","75"
"24736593","85"
"24999772","60"
"25163806","95"
"25321978","95"
"25588866","80"
"26295258","100"
"26335785","80"
"26673989","80"
"27152389","65"
"27366028","90"
"27685967","70"
"27814305","100"
"27940660","90"
"28862150","95"
"28916461","90"
"28986250","100"
"29095306","100"
"29117832","85"
"29617803","80"
"29782816","85"
"29849088","100"
"29864492","95"
"29894454","95"
"30221681","85"
"30594428","100"
"30920086","85"
"30946753","75"
"30976316","80"
"31000436","90"
"31075768","90"
"31328161","90"
"31459483","95"
"32068259","100"
"32329170","90"
"32366478","80"
"32451226","90"
"32688667","100"
"33626752","95"
"34065113","90"
"34886114","85"
"34915027","100"
"34954347","35"
"35150654","70"
"35401951","100"
"36314266","100"
"36736552","100"
"36815131","100"
"37150196","90"
"37327283","80"
"37362998","95"
"37665675","75"
"37676400","100"
"37684291","65"
"37955807","65"
"38342432","90"
"38877353","100"
"38948413","100"
"39090810","100"
"39573901","100"
"39726932","100"
"39771831","90"
"39844488","95"
"40884016","100"
"40908689","90"
"41080759","100"
"41436183","75"
"41438695","75"
"41543924","90"
"42839256","100"
"42987947","80"
"42996991","85"
"43207437","85"
"43225046","100"
"43231760","70"
"43397647","95"
"43960503","70"
"44501841","95"
"44546022","70"
"44744544","70"
"45574566","80"
"45820349","100"
"46256418","100"
"46977427","95"
"47148635","100"
"47455314","95"
"47693155","95"
"48006260","100"
"48355378","70"
"48596456","95"
"48829543","100"
"48945756","85"
"48954286","75"
"49066285","95"
"49327405","100"
"49662844","80"
"50007559","95"
"50025245","100"
"50287205","75"
"50671873","85"
"50986342","95"
"51415024","100"
"52000805","100"
"52171434","80"
"52369025","100"
"52433044","100"
"52519946","100"
"52963178","75"
"53101399","95"
"53171408","80"
"53383733","90"
"53566596","100"
"53753898","100"
"54647841","80"
"54683076","85"
"54745426","95"
"55076672","75"
"55095423","90"
"55435592","100"
"55581053","100"
"55791486","85"
"56172530","75"
"56290184","80"
"56646593","95"
"56791994","85"
"56893941","100"
"57215885","100"
"57422530","100"
"57449908","95"
"57731201","90"
"58207516","100"
"58434695","95"
"58528969","100"
"58579568","70"
"58631979","95"
"58703573","95"
"58828391","95"
"59662378","90"
"59990109","90"
"60508179","95"
"60523502","100"
"60776421","90"
"62209573","100"
"62426215","100"
"62434434","95"
"62600346","90"
"62609514","75"
"62610231","65"
"62667374","100"
"63411264","85"
"63452943","100"
"63942634","65"
"64001000","100"
"64141861","85"
"65208549","95"
"65384033","95"
"65646602","95"
"65667669","100"
"66160486","95"
"66282827","100"
"66370651","55"
"66460343","100"
"66696560","100"
"67061600","100"
"67349657","90"
"67356953","80"
"67894672","100"
"68128926","95"
"68135353","85"
"68181291","90"
"68267788","100"
"68608890","90"
"68981393","100"
"69282329","80"
"69376934","100"
"69407707","80"
"69541682","85"
"69546283","90"
"69690175","75"
"70187130","70"
"70359294","95"
"70570593","95"
"70774878","95"
"71093765","85"
"71206066","95"
"71617128","80"
"72473153","80"
"72571938","100"
"73208349","100"
"73448067","100"
"74209811","65"
"74291476","95"
"74338048","85"
"74361897","80"
"74623770","95"
"74632560","95"
"74662504","100"
"74745645","100"
"75416575","70"
"75624540","90"
"75696299","100"
"75839157","100"
"75869675","95"
"76657815","95"
"76756301","85"
"76794427","60"
"77517084","95"
"77811559","100"
"77833198","95"
"78012725","100"
"78132168","100"
"79690644","95"
"80703167","95"
"80933403","80"
"81015662","90"
"81086007","95"
"81599084","85"
"81739814","95"
"81766101","100"
"81821895","75"
"82226747","100"
"82256507","60"
"82377508","65"
"82394498","100"
"82723853","95"
"82743825","90"
"82842221","100"
"83079599","90"
"83118474","100"
"83368780","85"
"83916310","85"
"83977821","100"
"84034840","80"
"84043596","95"
"84311416","90"
"84916321","100"
"85012583","100"
"85039594","85"
"85217823","95"
"85266094","55"
"85425693","100"
"85880100","90"
"85959173","100"
"86178563","100"
"86180945","95"
"86841997","100"
"87630437","95"
"88117790","90"
"88179634","100"
"88193398","95"
"88244418","100"
"88427199","90"
"88682418","90"
"89206889","95"
"89536703","95"
"89599066","90"
"89743548","100"
"89795941","95"
"89952128","80"
"90269097","100"
"90274573","85"
"90493662","100"
"90572588","95"
"90602476","100"
"90831045","100"
"90877089","80"
"91323339","70"
"91587655","90"
"91598409","90"
"91869792","80"
"92126387","80"
"92579637","100"
"92769597","70"
"92919257","95"
"92929712","100"
"93241892","85"
"93497296","100"
"93576230","95"
"93787580","100"
"93987884","55"
"94284417","100"
"94416760","75"
"94495052","70"
"94858711","95"
"94899529","95"
"94962748","95"
"94997278","95"
"95130606","95"
"95265127","100"
"95338916","85"
"95580419","95"
"96033370","95"
"96404394","90"
"96512094","95"
"96568506","65"
"96753294","70"
"97027796","100"
"97157152","95"
"97369038","95"
"97429657","100"
"97666200","90"
"97815191","95"
"97869262","90"
"97874746","60"
"98466505","100"
"98564338","100"
"99024048","80"
"99142967","90"
"99687482","85"
"99861384","100"
